"","","","song_title"
"13","SCETTYB102","Kishor Kumar","Diye Jalate Hai,Aadmi jo kaheta Hai,Aaj ka ye din,Aadmi jo kaheta Hai,Aai Khuda Har faisala tera Muze Manjur hai,AA Dekhe jara ,Aaj na chhodenge ,Aaj na chhodenge ,Aaj na chhodenge ,Aaj ka ye din,Aaj na chhodenge ,Diye Jalate Hai,Aaiye Shauk se Kahiye,Diye Jalate Hai,AA Dekhe jara ,Aaj Madhosh Hua Jaye re,Aaiye Shauk se Kahiye,AA Dekhe jara ,Aai Khuda Har faisala tera Muze Manjur hai,Aai Khuda Har faisala tera Muze Manjur hai,Diye Jalate Hai,Aadmi jo kaheta Hai,Aaj ka ye din,Aadmi jo kaheta Hai,Aai Khuda Har faisala tera Muze Manjur hai,AA Dekhe jara ,Aaj na chhodenge ,Aaj na chhodenge ,Aaj na chhodenge ,Aai Khuda Har faisala tera Muze Manjur hai,Diye Jalate Hai,Aai Khuda Har faisala tera Muze Manjur hai,Aaiye Shauk se Kahiye,AA Dekhe jara ,AA Dekhe jara ,Aaj na chhodenge ,Diye Jalate Hai,Aaj ka ye din,AA Dekhe jara ,Aaj na chhodenge "
"14","SCETTYB102","Labh Jan Jua","Jee Karda,Jee Karda,Jee Karda,Jee Karda,Jee Karda,Jee Karda,Jee Karda"
"15","SCETTYB102","Mohit Chauhan","Hawa Hawaa,Naadaan Parindey,Tum Ho,Hawa Hawaa,Tum Ho,Naadaan Parindey,Kuchh Iss Tarah,Jaana Hai,Phir Se Udd Chala,Ilahi,Jo Bhi Main,Ilahi,Naadaan Parindey,Haafiz Khuda,Sadda Haq,Naadaan Parindey,Ilahi,Jo Bhi Main,Naadaan Parindey,Ilahi,Haafiz Khuda,Phir Se Udd Chala,Jo Bhi Main,Jaana Hai,Jaana Hai,Hawa Hawaa,Naadaan Parindey,Tum Ho,Hawa Hawaa,Tum Ho,Naadaan Parindey,Kuchh Iss Tarah,Jaana Hai,Phir Se Udd Chala,Ilahi,Ilahi,Hawa Hawaa,Tum Ho,Ilahi,Kuchh Iss Tarah,Jo Bhi Main,Hawa Hawaa,Ilahi,Sadda Haq"
"16","SCETTYB102","Mohmad Rafi","Abhi Na Jao Chhod Kar,Gulabi Ankhe,Baharo Phool Barsao,Tum Bin Jaoon Kahan,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Gulabi Ankhe,Gulabi Ankhe,Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand ,Abhi Na Jao Chhod Kar,Gulabi Ankhe,Baharo Phool Barsao,Tum Bin Jaoon Kahan,Khoya khoya chand ,Khoya khoya chand ,Abhi Na Jao Chhod Kar,Khoya khoya chand ,Tum Bin Jaoon Kahan,Gulabi Ankhe,Khoya khoya chand ,Khoya khoya chand ,Tum Bin Jaoon Kahan,Khoya khoya chand "
"17","SCETTYB102","Mukesh","Mera Joota Hai Japani,Mera Joota Hai Japani,Mera Joota Hai Japani,Mera Joota Hai Japani,Mera Joota Hai Japani,Mera Joota Hai Japani,Mera Joota Hai Japani"
"18","SCETTYB102","Neha Bhansin","Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum"
"19","SCETTYB102","Shreya Ghoshal","Dhoom Taana,Deewangi Deewangi,Dola Re Dola,Saans Me Teri ,More Piya,Om Shanti Om,Deewangi Deewangi,Deewangi Deewangi,Dhoom Taana,Raabta,Raabta,Dhoom Taana,Deewangi Deewangi,Saans Me Teri ,Om Shanti Om,Deewangi Deewangi,Saans Me Teri ,Koi Pathar Se na Maare,Om Shanti Om,Raabta,Koi Pathar Se na Maare,Om Shanti Om,Deewangi Deewangi,Raabta,Dola Re Dola,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Dhoom Taana,Raabta,Deewangi Deewangi,Wada Raha,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Dhoom Taana,Koi Pathar Se na Maare,Dhoom Taana,Om Shanti Om,Om Shanti Om,Silsila Ye Chahat Ka,Dola Re Dola,Dola Re Dola,Wada Raha,Om Shanti Om,Deewangi Deewangi,Raabta,Raabta,Saans Me Teri ,Raabta,Wada Raha,Teri Baahon Maein Hum,Deewangi Deewangi,Koi Pathar Se na Maare,Om Shanti Om,Deewangi Deewangi,Deewangi Deewangi,Dhoom Taana,Deewangi Deewangi,Dola Re Dola,Saans Me Teri ,More Piya,Om Shanti Om,Deewangi Deewangi,Deewangi Deewangi,Dhoom Taana,Raabta,Raabta,Dhoom Taana,Deewangi Deewangi,Saans Me Teri ,Om Shanti Om,Deewangi Deewangi,Saans Me Teri ,Koi Pathar Se na Maare,Om Shanti Om,Raabta,Koi Pathar Se na Maare,Om Shanti Om,Deewangi Deewangi,Raabta,Dola Re Dola,Dhoom Taana,Deewangi Deewangi,Raabta,Deewangi Deewangi,Raabta,Wada Raha,Koi Pathar Se na Maare,Dhoom Taana,Deewangi Deewangi,Saans Me Teri ,Koi Pathar Se na Maare,Dhoom Taana,Koi Pathar Se na Maare,Om Shanti Om,Raabta,Koi Pathar Se na Maare,Deewangi Deewangi,Dola Re Dola,Dola Re Dola,Dil Dooba,Om Shanti Om,Deewangi Deewangi,Deewangi Deewangi"
"20","SCETTYB102","Sonu Nigam","Sandese Aate Hai ,Maria Maria,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Maria Maria,Maria Maria,Sandese Aate Hai ,Sandese Aate Hai ,Maria Maria,Sandese Aate Hai ,Maria Maria,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Maria Maria,Sandese Aate Hai ,Maria Maria,Maria Maria"
"21","SCETTYB102","Vinod Rathod","Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi"
"22","SCETTYB103","A R rahman","Maahi,Maahi,Maahi,Maahi,Maahi"
