"","","","song_title"
"31","SCETTYB102","8*10 Tasveer","Kuchh Iss Tarah,Jaana Hai,Haafiz Khuda,Haafiz Khuda,Jaana Hai,Jaana Hai,Kuchh Iss Tarah,Jaana Hai,Kuchh Iss Tarah"
"32","SCETTYB102","Aaja Nachle","Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare"
"33","SCETTYB102","Abdullah","Aai Khuda Har faisala tera Muze Manjur hai,Aai Khuda Har faisala tera Muze Manjur hai,Aai Khuda Har faisala tera Muze Manjur hai,Aai Khuda Har faisala tera Muze Manjur hai,Aai Khuda Har faisala tera Muze Manjur hai,Aai Khuda Har faisala tera Muze Manjur hai"
"34","SCETTYB102","Agent Vinod ","Raabta,Raabta,Raabta,Raabta,Raabta,Raabta,Raabta,Raabta,Raabta,Raabta,Raabta,Raabta,Raabta,Raabta,Raabta"
"35","SCETTYB102","Border","Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai "
"36","SCETTYB102","Deewana","Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi"
"37","SCETTYB102","Devdas","Dola Re Dola,More Piya,Dola Re Dola,Silsila Ye Chahat Ka,Dola Re Dola,Dola Re Dola,Dola Re Dola,More Piya,Dola Re Dola,Dola Re Dola,Dola Re Dola"
"38","SCETTYB102","Gunday","Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum"
"39","SCETTYB102","Highway","Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi"
"40","SCETTYB102","Jab Tak Hai Jaan ","Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Saans Me Teri "
"41","SCETTYB102","Kati patang","Aaj na chhodenge ,Aaj na chhodenge ,Aaj na chhodenge ,Aaj na chhodenge ,Aaj na chhodenge ,Aaj na chhodenge ,Aaj na chhodenge ,Aaj na chhodenge ,Aaj na chhodenge "
"42","SCETTYB102","Khakee","Wada Raha,Wada Raha,Wada Raha,Teri Baahon Maein Hum,Wada Raha,Dil Dooba"
"43","SCETTYB102","Majboor","Aadmi jo kaheta Hai,Aadmi jo kaheta Hai,Aadmi jo kaheta Hai,Aadmi jo kaheta Hai"
"44","SCETTYB102","Mohmad Rafi","Abhi Na Jao Chhod Kar,Gulabi Ankhe,Baharo Phool Barsao,Tum Bin Jaoon Kahan,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Gulabi Ankhe,Gulabi Ankhe,Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand ,Abhi Na Jao Chhod Kar,Gulabi Ankhe,Baharo Phool Barsao,Tum Bin Jaoon Kahan,Khoya khoya chand ,Khoya khoya chand ,Abhi Na Jao Chhod Kar,Khoya khoya chand ,Tum Bin Jaoon Kahan,Gulabi Ankhe,Khoya khoya chand ,Khoya khoya chand ,Tum Bin Jaoon Kahan,Khoya khoya chand "
"45","SCETTYB102","Namak Haram","Diye Jalate Hai,Diye Jalate Hai,Diye Jalate Hai,Diye Jalate Hai,Diye Jalate Hai,Diye Jalate Hai"
"46","SCETTYB102","Nastik","Aaj ka ye din,Aaj ka ye din,Aaj ka ye din,Aaj ka ye din"
